#LIBRARY    ENDF/B-VII.1
#REACTION   U-235(N,F),SIG
#NUCLEUS    U-235
#MF         3
#MT         18
#E,eV        Sig,b        Interpolation
 1E-05       31388.3      Lin-Lin
 1.10304E-05 29886.2      Lin-Lin
 1.21669E-05 28456        Lin-Lin
 1.34206E-05 27094.2      Lin-Lin
 1.48034E-05 25797.6      Lin-Lin
 1.63286E-05 24562.9      Lin-Lin
 1.80111E-05 23387.4      Lin-Lin
 1.98669E-05 22268.1      Lin-Lin
 2.19139E-05 21202.4      Lin-Lin
 2.41719E-05 20187.6      Lin-Lin
 2.66625E-05 19221.4      Lin-Lin
 2.94097E-05 18301.4      Lin-Lin
 3.244E-05   17425.4      Lin-Lin
 3.57825E-05 16591.3      Lin-Lin
 3.94694E-05 15797.2      Lin-Lin
 4.35362E-05 15041        Lin-Lin
 4.80221E-05 14320.9      Lin-Lin
 5.29701E-05 13635.4      Lin-Lin
 5.8428E-05  12982.6      Lin-Lin
 6.44482E-05 12361        Lin-Lin
 7.10888E-05 11769.2      Lin-Lin
 7.84136E-05 11205.6      Lin-Lin
 8.64931E-05 10669        Lin-Lin
 9.54051E-05 10158.1      Lin-Lin
 0.000105235 9671.58      Lin-Lin
 0.000116078 9208.32      Lin-Lin
 0.000128039 8767.22      Lin-Lin
 0.000141232 8347.19      Lin-Lin
 0.000155784 7947.24      Lin-Lin
 0.000171835 7566.4       Lin-Lin
 0.00018954  7203.76      Lin-Lin
 0.00020907  6858.44      Lin-Lin
 0.000230612 6529.62      Lin-Lin
 0.000254374 6216.5       Lin-Lin
 0.000280584 5918.32      Lin-Lin
 0.000309494 5634.39      Lin-Lin
 0.000341383 5364         Lin-Lin
 0.000376558 5106.51      Lin-Lin
 0.000415358 4861.31      Lin-Lin
 0.000458155 4627.8       Lin-Lin
 0.000505362 4405.42      Lin-Lin
 0.000557433 4193.63      Lin-Lin
 0.000614869 3991.94      Lin-Lin
 0.000678223 3799.84      Lin-Lin
 0.000748105 3616.9       Lin-Lin
 0.000825188 3442.65      Lin-Lin
 0.000910213 3276.69      Lin-Lin
 0.001004    3118.61      Lin-Lin
 0.00110745  2968.04      Lin-Lin
 0.00122155  2824.62      Lin-Lin
 0.00134742  2688.01      Lin-Lin
 0.00148625  2557.87      Lin-Lin
 0.00163939  2433.89      Lin-Lin
 0.00180831  2315.79      Lin-Lin
 0.00199463  2203.28      Lin-Lin
 0.00220016  2096.09      Lin-Lin
 0.00242685  1993.97      Lin-Lin
 0.00267691  1896.69      Lin-Lin
 0.00295273  1804.02      Lin-Lin
 0.00325697  1715.75      Lin-Lin
 0.00359256  1631.66      Lin-Lin
 0.00396272  1551.57      Lin-Lin
 0.00437103  1475.27      Lin-Lin
 0.00482141  1402.56      Lin-Lin
 0.00531819  1333.25      Lin-Lin
 0.00586616  1267.2       Lin-Lin
 0.00647059  1204.27      Lin-Lin
 0.0071373   1144.35      Lin-Lin
 0.00787271  1087.3       Lin-Lin
 0.00868389  1033         Lin-Lin
 0.00957865  981.351      Lin-Lin
 0.0105656   932.212      Lin-Lin
 0.0116543   885.441      Lin-Lin
 0.0128551   840.893      Lin-Lin
 0.0141796   798.45       Lin-Lin
 0.0156406   758.012      Lin-Lin
 0.0172522   719.467      Lin-Lin
 0.0190298   682.698      Lin-Lin
 0.0209906   647.592      Lin-Lin
 0.0231534   614.052      Lin-Lin
 0.0252419   585.734      Lin-Lin
 0.0253      584.994      Lin-Lin
 0.0279068   554.105      Lin-Lin
 0.0307823   524.438      Lin-Lin
 0.033954    495.987      Lin-Lin
 0.0374525   468.724      Lin-Lin
 0.0413115   442.523      Lin-Lin
 0.0452511   419.069      Lin-Lin
 0.049564    396.502      Lin-Lin
 0.0542907   374.79       Lin-Lin
 0.0594651   353.947      Lin-Lin
 0.065136    333.944      Lin-Lin
 0.0713441   314.804      Lin-Lin
 0.0776004   297.894      Lin-Lin
 0.0844053   281.726      Lin-Lin
 0.091807    266.318      Lin-Lin
 0.0998577   251.697      Lin-Lin
 0.107859    239.014      Lin-Lin
 0.116495    227.075      Lin-Lin
 0.12583     215.924      Lin-Lin
 0.13496     206.552      Lin-Lin
 0.144752    197.998      Lin-Lin
 0.154168    191.106      Lin-Lin
 0.164204    185.106      Lin-Lin
 0.173669    180.668      Lin-Lin
 0.183679    177.245      Lin-Lin
 0.192905    175.25       Lin-Lin
 0.202604    174.365      Lin-Lin
 0.204802    174.338      Lin-Lin
 0.215099    175.063      Lin-Lin
 0.225904    177.267      Lin-Lin
 0.237263    180.945      Lin-Lin
 0.261709    190.693      Lin-Lin
 0.271031    193.411      Lin-Lin
 0.279155    194.535      Lin-Lin
 0.282007    194.586      Lin-Lin
 0.288003    194.049      Lin-Lin
 0.294112    192.574      Lin-Lin
 0.300365    190.112      Lin-Lin
 0.3089      185.357      Lin-Lin
 0.317677    179.127      Lin-Lin
 0.331314    167.829      Lin-Lin
 0.352865    149.202      Lin-Lin
 0.365451    139.144      Lin-Lin
 0.375836    131.586      Lin-Lin
 0.386515    124.55       Lin-Lin
 0.397498    118.063      Lin-Lin
 0.408793    112.118      Lin-Lin
 0.420409    106.686      Lin-Lin
 0.432355    101.727      Lin-Lin
 0.444641    97.1995      Lin-Lin
 0.460479    92.083       Lin-Lin
 0.476904    87.4872      Lin-Lin
 0.493891    83.3562      Lin-Lin
 0.511508    79.6198      Lin-Lin
 0.529727    76.2392      Lin-Lin
 0.552466    72.5865      Lin-Lin
 0.57618     69.3262      Lin-Lin
 0.600912    66.4172      Lin-Lin
 0.626706    63.8294      Lin-Lin
 0.653607    61.5435      Lin-Lin
 0.681663    59.5549      Lin-Lin
 0.710923    57.8633      Lin-Lin
 0.741439    56.4823      Lin-Lin
 0.773265    55.4601      Lin-Lin
 0.800848    54.9262      Lin-Lin
 0.829373    54.7467      Lin-Lin
 0.853761    54.932       Lin-Lin
 0.878021    55.4781      Lin-Lin
 0.896689    56.1885      Lin-Lin
 0.91571     57.2223      Lin-Lin
 0.935179    58.6703      Lin-Lin
 0.948373    59.9199      Lin-Lin
 0.961753    61.4493      Lin-Lin
 0.975321    63.3152      Lin-Lin
 0.989081    65.5873      Lin-Lin
 1.00304     68.3504      Lin-Lin
 1.01362     70.803       Lin-Lin
 1.02431     73.6295      Lin-Lin
 1.03515     76.8899      Lin-Lin
 1.04609     80.6068      Lin-Lin
 1.05342     83.3367      Lin-Lin
 1.06828     89.4056      Lin-Lin
 1.09481     100.907      Lin-Lin
 1.10557     104.901      Lin-Lin
 1.11251     106.895      Lin-Lin
 1.1184      108.077      Lin-Lin
 1.12527     108.722      Lin-Lin
 1.12723     108.741      Lin-Lin
 1.13156     108.504      Lin-Lin
 1.13728     107.565      Lin-Lin
 1.14242     106.095      Lin-Lin
 1.14756     104.032      Lin-Lin
 1.15332     101.042      Lin-Lin
 1.1594      97.1881      Lin-Lin
 1.16548     92.7279      Lin-Lin
 1.1737      85.9867      Lin-Lin
 1.19443     67.7427      Lin-Lin
 1.20283     60.7276      Lin-Lin
 1.20917     55.7917      Lin-Lin
 1.21551     51.2244      Lin-Lin
 1.22194     46.9935      Lin-Lin
 1.22623     44.3998      Lin-Lin
 1.23051     41.9849      Lin-Lin
 1.23483     39.7289      Lin-Lin
 1.23918     37.6295      Lin-Lin
 1.24353     35.6963      Lin-Lin
 1.24788     33.9229      Lin-Lin
 1.25225     32.2925      Lin-Lin
 1.25666     30.8036      Lin-Lin
 1.26107     29.4651      Lin-Lin
 1.26548     28.275       Lin-Lin
 1.26998     27.213       Lin-Lin
 1.27457     26.2872      Lin-Lin
 1.27966     25.4424      Lin-Lin
 1.28386     24.8851      Lin-Lin
 1.28806     24.4445      Lin-Lin
 1.2931      24.0512      Lin-Lin
 1.29926     23.7277      Lin-Lin
 1.31886     23.0927      Lin-Lin
 1.32838     22.6385      Lin-Lin
 1.33957     21.9022      Lin-Lin
 1.36197     20.2491      Lin-Lin
 1.37317     19.5274      Lin-Lin
 1.38437     18.9132      Lin-Lin
 1.39557     18.3965      Lin-Lin
 1.41237     17.7686      Lin-Lin
 1.42777     17.3108      Lin-Lin
 1.44771     16.8381      Lin-Lin
 1.46813     16.4538      Lin-Lin
 1.49927     15.9976      Lin-Lin
 1.53115     15.6351      Lin-Lin
 1.57466     15.2423      Lin-Lin
 1.64225     14.7619      Lin-Lin
 1.72474     14.2935      Lin-Lin
 1.79877     13.9647      Lin-Lin
 1.84989     13.8248      Lin-Lin
 1.87368     13.8115      Lin-Lin
 1.8935      13.8495      Lin-Lin
 1.91352     13.9684      Lin-Lin
 1.92692     14.1276      Lin-Lin
 1.93864     14.3568      Lin-Lin
 1.94826     14.6461      Lin-Lin
 1.95548     14.9534      Lin-Lin
 1.9627      15.3711      Lin-Lin
 1.96751     15.73        Lin-Lin
 1.97232     16.169       Lin-Lin
 1.97714     16.7026      Lin-Lin
 1.98195     17.3441      Lin-Lin
 1.98676     18.1037      Lin-Lin
 1.99157     18.9849      Lin-Lin
 1.99639     19.9816      Lin-Lin
 2.0036      21.6459      Lin-Lin
 2.01323     23.955       Lin-Lin
 2.01768     24.9338      Lin-Lin
 2.02177     25.7147      Lin-Lin
 2.02502     26.2241      Lin-Lin
 2.02863     26.6498      Lin-Lin
 2.03224     26.9084      Lin-Lin
 2.03568     26.9873      Lin-Lin
 2.03915     26.8966      Lin-Lin
 2.04258     26.6432      Lin-Lin
 2.04679     26.1255      Lin-Lin
 2.0504      25.5234      Lin-Lin
 2.05461     24.6733      Lin-Lin
 2.05942     23.5652      Lin-Lin
 2.07145     20.6019      Lin-Lin
 2.07627     19.4888      Lin-Lin
 2.08108     18.4727      Lin-Lin
 2.08589     17.5703      Lin-Lin
 2.0907      16.7862      Lin-Lin
 2.09551     16.1159      Lin-Lin
 2.10033     15.5493      Lin-Lin
 2.10514     15.0735      Lin-Lin
 2.10995     14.6747      Lin-Lin
 2.11717     14.1931      Lin-Lin
 2.12439     13.8185      Lin-Lin
 2.13281     13.4786      Lin-Lin
 2.14364     13.1467      Lin-Lin
 2.15498     12.8825      Lin-Lin
 2.16632     12.6739      Lin-Lin
 2.18921     12.3545      Lin-Lin
 2.2201      12.0398      Lin-Lin
 2.26719     11.672       Lin-Lin
 2.42503     10.6152      Lin-Lin
 2.4738      10.2361      Lin-Lin
 2.52346     9.78059      Lin-Lin
 2.55167     9.4797       Lin-Lin
 2.58767     9.04626      Lin-Lin
 2.64267     8.33671      Lin-Lin
 2.66124     8.14434      Lin-Lin
 2.67527     8.05365      Lin-Lin
 2.68463     8.0345       Lin-Lin
 2.695       8.06619      Lin-Lin
 2.70432     8.15465      Lin-Lin
 2.71054     8.2512       Lin-Lin
 2.71676     8.38174      Lin-Lin
 2.72524     8.61999      Lin-Lin
 2.73372     8.93324      Lin-Lin
 2.73938     9.18565      Lin-Lin
 2.74661     9.56013      Lin-Lin
 2.75498     10.0632      Lin-Lin
 2.76391     10.6768      Lin-Lin
 2.77217     11.3041      Lin-Lin
 2.78348     12.2336      Lin-Lin
 2.81174     14.6684      Lin-Lin
 2.82662     15.8662      Lin-Lin
 2.8415      16.9359      Lin-Lin
 2.85644     17.8672      Lin-Lin
 2.87153     18.6748      Lin-Lin
 2.89164     19.6004      Lin-Lin
 2.9374      21.5401      Lin-Lin
 2.95289     22.2943      Lin-Lin
 2.96837     23.1702      Lin-Lin
 2.98119     24.023       Lin-Lin
 2.99401     25.0271      Lin-Lin
 3.00607     26.1453      Lin-Lin
 3.01659     27.2912      Lin-Lin
 3.02712     28.6276      Lin-Lin
 3.03764     30.1887      Lin-Lin
 3.04817     32.0101      Lin-Lin
 3.05518     33.385       Lin-Lin
 3.0622      34.8966      Lin-Lin
 3.07273     37.4237      Lin-Lin
 3.08325     40.2398      Lin-Lin
 3.11062     48.1556      Lin-Lin
 3.11763     50.0052      Lin-Lin
 3.12465     51.6121      Lin-Lin
 3.13166     52.8806      Lin-Lin
 3.13693     53.5558      Lin-Lin
 3.14331     54.0074      Lin-Lin
 3.14696     54.0696      Lin-Lin
 3.15271     53.8648      Lin-Lin
 3.15833     53.3053      Lin-Lin
 3.16464     52.2651      Lin-Lin
 3.1699      51.0915      Lin-Lin
 3.17517     49.6725      Lin-Lin
 3.18113     47.8175      Lin-Lin
 3.19008     44.6818      Lin-Lin
 3.20955     37.3771      Lin-Lin
 3.21656     34.8732      Lin-Lin
 3.22358     32.5386      Lin-Lin
 3.2306      30.4083      Lin-Lin
 3.23761     28.4995      Lin-Lin
 3.24288     27.2155      Lin-Lin
 3.24814     26.0556      Lin-Lin
 3.2534      25.0146      Lin-Lin
 3.25866     24.086       Lin-Lin
 3.26568     23.0095      Lin-Lin
 3.2727      22.1003      Lin-Lin
 3.27971     21.3395      Lin-Lin
 3.28673     20.7093      Lin-Lin
 3.29375     20.1939      Lin-Lin
 3.30076     19.779       Lin-Lin
 3.30778     19.4525      Lin-Lin
 3.31795     19.1157      Lin-Lin
 3.32795     18.9207      Lin-Lin
 3.33962     18.8401      Lin-Lin
 3.35128     18.8991      Lin-Lin
 3.36128     19.0514      Lin-Lin
 3.37163     19.3031      Lin-Lin
 3.38215     19.6564      Lin-Lin
 3.39268     20.1103      Lin-Lin
 3.4032      20.6709      Lin-Lin
 3.41373     21.3479      Lin-Lin
 3.42552     22.2632      Lin-Lin
 3.43509     23.1448      Lin-Lin
 3.44449     24.1546      Lin-Lin
 3.45374     25.3093      Lin-Lin
 3.46299     26.6541      Lin-Lin
 3.46993     27.8096      Lin-Lin
 3.47686     29.1122      Lin-Lin
 3.4838      30.5849      Lin-Lin
 3.49074     32.2548      Lin-Lin
 3.49768     34.1532      Lin-Lin
 3.50461     36.3161      Lin-Lin
 3.51155     38.783       Lin-Lin
 3.51617     40.6172      Lin-Lin
 3.5208      42.6174      Lin-Lin
 3.52542     44.795       Lin-Lin
 3.53005     47.1598      Lin-Lin
 3.53467     49.719       Lin-Lin
 3.54161     53.9269      Lin-Lin
 3.54855     58.562       Lin-Lin
 3.55548     63.5676      Lin-Lin
 3.57398     77.6967      Lin-Lin
 3.58092     82.6514      Lin-Lin
 3.58554     85.6139      Lin-Lin
 3.59063     88.4218      Lin-Lin
 3.59479     90.2811      Lin-Lin
 3.59896     91.6765      Lin-Lin
 3.60358     92.6151      Lin-Lin
 3.60821     92.8528      Lin-Lin
 3.61167     92.5476      Lin-Lin
 3.61625     91.4986      Lin-Lin
 3.61963     90.2581      Lin-Lin
 3.623       88.6343      Lin-Lin
 3.62763     85.8245      Lin-Lin
 3.63225     82.4036      Lin-Lin
 3.63642     78.8765      Lin-Lin
 3.64058     75.0031      Lin-Lin
 3.64752     68.0003      Lin-Lin
 3.66185     52.8186      Lin-Lin
 3.6674      47.1724      Lin-Lin
 3.67295     41.8496      Lin-Lin
 3.67688     38.3204      Lin-Lin
 3.68104     34.8258      Lin-Lin
 3.68417     32.3763      Lin-Lin
 3.68729     30.0765      Lin-Lin
 3.69041     27.9263      Lin-Lin
 3.69388     25.7086      Lin-Lin
 3.69753     23.5702      Lin-Lin
 3.70117     21.6191      Lin-Lin
 3.70482     19.8453      Lin-Lin
 3.70846     18.2378      Lin-Lin
 3.7109      17.2525      Lin-Lin
 3.71379     16.1625      Lin-Lin
 3.71669     15.1587      Lin-Lin
 3.71959     14.2353      Lin-Lin
 3.72249     13.3862      Lin-Lin
 3.72538     12.6059      Lin-Lin
 3.72828     11.889       Lin-Lin
 3.73118     11.2305      Lin-Lin
 3.73508     10.4279      Lin-Lin
 3.73809     9.86819      Lin-Lin
 3.7411      9.35538      Lin-Lin
 3.74411     8.88527      Lin-Lin
 3.74812     8.31828      Lin-Lin
 3.75213     7.8122       Lin-Lin
 3.75614     7.35976      Lin-Lin
 3.76016     6.95453      Lin-Lin
 3.76417     6.59085      Lin-Lin
 3.7684      6.24654      Lin-Lin
 3.77286     5.92246      Lin-Lin
 3.77732     5.63258      Lin-Lin
 3.78178     5.37234      Lin-Lin
 3.78624     5.13778      Lin-Lin
 3.79069     4.92545      Lin-Lin
 3.79738     4.64216      Lin-Lin
 3.80184     4.47306      Lin-Lin
 3.80897     4.22932      Lin-Lin
 3.8161      4.01235      Lin-Lin
 3.82324     3.81638      Lin-Lin
 3.83037     3.63697      Lin-Lin
 3.83929     3.43115      Lin-Lin
 3.8482      3.2421       Lin-Lin
 3.85712     3.06789      Lin-Lin
 3.86773     2.87971      Lin-Lin
 3.87526     2.75968      Lin-Lin
 3.88338     2.64444      Lin-Lin
 3.89189     2.5407       Lin-Lin
 3.89858     2.47249      Lin-Lin
 3.90527     2.41643      Lin-Lin
 3.91329     2.36538      Lin-Lin
 3.92131     2.33168      Lin-Lin
 3.92666     2.31841      Lin-Lin
 3.93558     2.31131      Lin-Lin
 3.9445      2.32084      Lin-Lin
 3.95341     2.34421      Lin-Lin
 3.96679     2.39892      Lin-Lin
 3.98016     2.46929      Lin-Lin
 4.03366     2.7896       Lin-Lin
 4.0604      2.93544      Lin-Lin
 4.08715     3.06465      Lin-Lin
 4.12282     3.21339      Lin-Lin
 4.15848     3.34002      Lin-Lin
 4.19415     3.44935      Lin-Lin
 4.23873     3.5675       Lin-Lin
 4.29556     3.6969       Lin-Lin
 4.47995     4.05951      Lin-Lin
 4.52724     4.16764      Lin-Lin
 4.55906     4.25416      Lin-Lin
 4.59111     4.36007      Lin-Lin
 4.61532     4.45936      Lin-Lin
 4.63952     4.58444      Lin-Lin
 4.66034     4.72383      Lin-Lin
 4.67596     4.85799      Lin-Lin
 4.68656     4.97021      Lin-Lin
 4.69737     5.1091       Lin-Lin
 4.70818     5.28255      Lin-Lin
 4.71628     5.44424      Lin-Lin
 4.72439     5.64341      Lin-Lin
 4.73152     5.86029      Lin-Lin
 4.73687     6.05618      Lin-Lin
 4.74222     6.28783      Lin-Lin
 4.74756     6.56314      Lin-Lin
 4.75291     6.89136      Lin-Lin
 4.75778     7.24438      Lin-Lin
 4.76264     7.6581       Lin-Lin
 4.76588     7.9719       Lin-Lin
 4.7702      8.44249      Lin-Lin
 4.77453     8.97762      Lin-Lin
 4.77885     9.58166      Lin-Lin
 4.78317     10.2574      Lin-Lin
 4.78749     11.0057      Lin-Lin
 4.79182     11.8242      Lin-Lin
 4.79614     12.7078      Lin-Lin
 4.80262     14.134       Lin-Lin
 4.81775     17.6414      Lin-Lin
 4.82424     19.0338      Lin-Lin
 4.82834     19.8187      Lin-Lin
 4.83223     20.4675      Lin-Lin
 4.8358      20.9655      Lin-Lin
 4.83904     21.3272      Lin-Lin
 4.84282     21.6293      Lin-Lin
 4.84606     21.7791      Lin-Lin
 4.84931     21.8246      Lin-Lin
 4.8519      21.7851      Lin-Lin
 4.85579     21.6006      Lin-Lin
 4.85936     21.3036      Lin-Lin
 4.86357     20.8056      Lin-Lin
 4.86789     20.1463      Lin-Lin
 4.87221     19.3594      Lin-Lin
 4.87654     18.4713      Lin-Lin
 4.88297     17.0231      Lin-Lin
 4.89496     14.1991      Lin-Lin
 4.90064     12.9253      Lin-Lin
 4.90594     11.8185      Lin-Lin
 4.90947     11.1361      Lin-Lin
 4.91301     10.5026      Lin-Lin
 4.91619     9.97578      Lin-Lin
 4.92043     9.33813      Lin-Lin
 4.92467     8.77336      Lin-Lin
 4.92891     8.27842      Lin-Lin
 4.93315     7.84881      Lin-Lin
 4.93739     7.4791       Lin-Lin
 4.94093     7.21251      Lin-Lin
 4.94446     6.9799       Lin-Lin
 4.948       6.7778       Lin-Lin
 4.9533      6.52466      Lin-Lin
 4.9586      6.32243      Lin-Lin
 4.9639      6.16204      Lin-Lin
 4.96991     6.02117      Lin-Lin
 4.97627     5.90962      Lin-Lin
 4.98264     5.82838      Lin-Lin
 4.99112     5.75608      Lin-Lin
 4.9996      5.71487      Lin-Lin
 5.0102      5.69565      Lin-Lin
 5.01374     5.6956       Lin-Lin
 5.02788     5.72041      Lin-Lin
 5.04201     5.7775       Lin-Lin
 5.05615     5.86031      Lin-Lin
 5.07382     5.99459      Lin-Lin
 5.0915      6.15973      Lin-Lin
 5.10917     6.35432      Lin-Lin
 5.12684     6.57832      Lin-Lin
 5.14492     6.83887      Lin-Lin
 5.16301     7.13266      Lin-Lin
 5.18109     7.46155      Lin-Lin
 5.19917     7.82756      Lin-Lin
 5.21751     8.23858      Lin-Lin
 5.23585     8.69134      Lin-Lin
 5.25418     9.1868       Lin-Lin
 5.27252     9.72491      Lin-Lin
 5.2944      10.4206      Lin-Lin
 5.31629     11.1685      Lin-Lin
 5.3587      12.7207      Lin-Lin
 5.40394     14.3859      Lin-Lin
 5.42515     15.1057      Lin-Lin
 5.44777     15.7913      Lin-Lin
 5.46897     16.3337      Lin-Lin
 5.49018     16.7626      Lin-Lin
 5.51068     17.0616      Lin-Lin
 5.53083     17.2445      Lin-Lin
 5.5538      17.3278      Lin-Lin
 5.57339     17.3063      Lin-Lin
 5.60277     17.1486      Lin-Lin
 5.63215     16.8889      Lin-Lin
 5.71161     16.0712      Lin-Lin
 5.7415      15.8382      Lin-Lin
 5.77139     15.6947      Lin-Lin
 5.79414     15.6612      Lin-Lin
 5.81742     15.708       Lin-Lin
 5.83786     15.8277      Lin-Lin
 5.85831     16.0324      Lin-Lin
 5.87875     16.3359      Lin-Lin
 5.89879     16.7458      Lin-Lin
 5.91382     17.1388      Lin-Lin
 5.92885     17.6172      Lin-Lin
 5.94387     18.1944      Lin-Lin
 5.9589      18.8868      Lin-Lin
 5.97033     19.5022      Lin-Lin
 5.98176     20.2053      Lin-Lin
 5.99318     21.0074      Lin-Lin
 6.00461     21.9207      Lin-Lin
 6.01604     22.9585      Lin-Lin
 6.02747     24.1347      Lin-Lin
 6.03889     25.4627      Lin-Lin
 6.05032     26.9541      Lin-Lin
 6.06175     28.6169      Lin-Lin
 6.07318     30.453       Lin-Lin
 6.0846      32.4547      Lin-Lin
 6.09603     34.6017      Lin-Lin
 6.13488     42.3665      Lin-Lin
 6.15048     45.2351      Lin-Lin
 6.16299     47.2098      Lin-Lin
 6.17374     48.5953      Lin-Lin
 6.18516     49.7137      Lin-Lin
 6.19659     50.4635      Lin-Lin
 6.20973     50.9316      Lin-Lin
 6.24001     51.4157      Lin-Lin
 6.2503      51.9108      Lin-Lin
 6.25801     52.6105      Lin-Lin
 6.26344     53.3414      Lin-Lin
 6.26958     54.4699      Lin-Lin
