Timestamp,Finding the binding energy of nucleons in a nucleus,"Identifying nuclear decay modes (alpha, beta, gamma)",Using exponential decay to predict quantities of radioactive material,Working with nuclear cross sections and neutron flux (rough approximations of cross sections and macroscopic interaction rates),"Describing neutron-nucleus collision interactions (elastic/inelastic scattering, absorption, fission)","Identifying cross sectional dependence on energy (identifying fast, resonance, and thermal neutron regions in energy spectra)","Describing nuclear reactor types (PWRs, BWRs, SMRs, MSRs, FHRs, HTRs, PBRs, fast reactors, etc.)","Explaining light water reactors (geometries, components, materials, operation, fuel-cycles)",Finding derivatives,Solving integrals,"Solving linear, first order, ordinary differential equations","Solving linear, second order, ordinary differential equations","Performing calculus with special functions (delta functions, step functions, bessel functions, etc.)","Using linear algebra (multiplying matrices, inverting matrices, calculating determinants, etc.)","Using the Unix shell (making/changing directories, editing text files, etc.)","Using high-performance computing architectures (submitting jobs, managing queues, etc.)",Developing Monte Carlo algorithms,Knowing the entire history of nuclear science
2018/01/16 4:56:02 PM PST,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
2018/01/16 4:58:39 PM PST,4,4,2,1,2,3,3,2,5,,5,5,4,5,1,1,1,2
2018/01/16 5:01:41 PM PST,5,5,5,3,4,4,3,3,5,5,4,4,4,4,3,3,1,1
2018/01/16 5:09:27 PM PST,4,4,5,4,5,3,3,3,3,5,2,2,3,1,1,1,1,5
2018/01/16 5:38:23 PM PST,5,5,5,5,5,4,4,3,5,5,5,4,1,5,5,3,2,4
2018/01/16 5:38:35 PM PST,5,4,4,3,3,3,2,2,5,5,3,3,2,4,5,3,1,2
2018/01/16 7:24:15 PM PST,5,5,5,5,5,3,5,4,5,5,4,3,3,5,5,3,1,5
2018/01/16 7:41:06 PM PST,5,5,5,4,4,4,4,3,3,5,3,3,4,3,4,2,2,2
2018/01/16 7:56:44 PM PST,5,5,3,2,3,2,1,1,5,5,5,5,5,5,5,5,1,2
2018/01/16 8:13:01 PM PST,4,5,5,3,4,3,3,2,5,5,4,4,3,3,2,2,1,1
2018/01/16 8:29:25 PM PST,5,5,4,4,4,4,3,3,5,5,4,4,3,4,2,3,1,2
2018/01/16 8:38:12 PM PST,4,5,5,4,4,4,2,2,5,,4,4,,4,1,1,1,1
2018/01/16 9:11:11 PM PST,5,5,5,4,5,5,1,1,5,5,4,3,2,5,5,4,3,1
2018/01/17 12:46:50 AM PST,5,5,5,3,5,4,5,4,5,5,4,3,5,5,2,1,1,2
2018/01/17 10:42:41 AM PST,5,5,5,4,4,3,2,1,5,5,4,4,4,5,3,1,1,3
2018/01/17 1:26:22 PM PST,4,3,2,2,2,3,1,1,4,4,4,4,3,4,1,1,1,1
2018/01/18 1:17:57 PM PST,4,3,4,4,3,3,3,3,4,4,3,1,1,4,1,1,1,3
2018/01/20 5:15:05 PM PST,4,4,5,4,5,4,3,3,5,5,5,5,4,5,2,1,2,3
